"id","age","country","education","occupation[a1]","occupation[a2]","occupation[a3]","occupation[a4]","occupation[a5]","flossprojects[p1_name]","flossprojects[p1_tasks]","flossprojects[p1_duration]","flossprojects[p2_name]","flossprojects[p2_tasks]","flossprojects[p2_duration]","flossprojects[p3_name]","flossprojects[p3_tasks]","flossprojects[p3_duration]","flossprojects[p4_name]","flossprojects[p4_tasks]","flossprojects[p4_duration]","flossprojects[p5_name]","flossprojects[p5_tasks]","flossprojects[p5_duration]","usedsystems1[getenv]","usedsystems1[envvar]","usedsystems1[xsettings]","usedsystems1[gsettings]","usedsystems1[qsettings]","usedsystems1[kconfig]","usedsystems1[dconf]","usedsystems1[cfgfiles]","usedsystems1[freedesktop]","usedsystems1[registra]","usedsystems1[plist]","usedsystems2[getenv]","usedsystems2[envvar]","usedsystems2[xsettings]","usedsystems2[gsettings]","usedsystems2[qsettings]","usedsystems2[kconfig]","usedsystems2[dconf]","usedsystems2[cfgfiles]","usedsystems2[freedesktop]","usedsystems2[registra]","usedsystems2[plist]","flosscontribution[a1]","flosscontribution[a2]","flosscontribution[a3]","flosscontribution[a4]","flosscontribution[a5]","flosscontribution[a6]","flosscontribution[a7]","introduceconfintrg[a1]","introduceconfintrg[a2]","introduceconfintrg[a3]","introduceconfintrg[a4]","introduceconfintrg[a5]","specifyconfig[a1]","specifyconfig[a2]","specifyconfig[a3]","specifyconfig[a4]","specifyconfig[a5]","specifyconfig[a6]","specifyconfig[a7]","specifyconfig[a8]","specifyconfig[a9]","specifyconfig[a10]","specifyconfig[a11]","specifyconfig[a12]","configreduction[a1]","configreduction[a2]","configreduction[a3]","configreduction[a4]","configreduction[a5]","configreduction[a6]","configreduction[a7]","configreduction[a8]","configreduction[a9]","effortconfexp[a1]","effortconfexp[a2]","effortconfexp[a3]","effortconfexp[a4]","effortconfexp[a5]","effortconfexp[a6]","effortconfexp[a7]","effortconfexp[a8]","effortconfexp[a9]","importancecfgoptions[a1]","importancecfgoptions[a2]","importancecfgoptions[a3]","importancecfgoptions[a4]","importancecfgoptions[a5]","importancecfgoptions[a6]","importancecfgoptions[a7]","getenv[a1]","getenv[a2]","getenv[a3]","getenv[a4]","getenv[a5]","getenv[a6]","getenv[a7]","getenv[a8]","clusterconf[a1]","clusterconf[a2]","clusterconf[a3]","clusterconf[a4]","clusterconf[a5]","clusterconf[a6]","informaboutcfg[a1]","informaboutcfg[a2]","informaboutcfg[a3]","informaboutcfg[a4]","informaboutcfg[a5]","informaboutcfg[a6]","informaboutcfg[a7]","informaboutcfg[a8]","informaboutcfg[a9]","syncconfig[a1]","syncconfig[a2]","syncconfig[a3]","syncconfig[a4]","syncconfig[a5]","syncconfig[a6]","importantbenefits[a1]","importantbenefits[a2]","importantbenefits[a3]","importantbenefits[a4]","importantbenefits[a5]","importantbenefits[a6]","importantbenefits[a7]","importantbenefits[a8]","importantbenefits[a9]","importantbenefits[a10]","importantbenefits[a11]","importantbenefits[a12]","importantbenefits[a13]","importantbenefits[a14]","donation"
"17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"18","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"20","26-31","RU","a3","0","1","0","0","0","scripts","developer","0","6","translator,tester","0","","","","","","","","","","used4","used4","used3","used3","used1","used1","used3","used4","used4","used3","used1","neutral","neutral","help","bad","","","bad","good","neutral","bad","","0","0","1","0","0","0","0","a4","a4","a3","","","0","0","1","0","0","1","0","1","1","0","0","0","","","","","","","","","1","1","1","1","0","0","0","0","0","0","a4","a3","a4","a5","a2","a2","a2","0","0","0","1","0","0","0","0","1","1","0","0","0","0","a3","a3","a4","a3","a3","a2","a1","a3","a3","0","1","1","0","0","0","a5","a5","a5","a2","a3","a4","a1","a2","a3","a2","a2","a3","a4","","1"
"21","26-31","FR","a4","1","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","a5","a4","a3","a2","","1","0","0","1","0","0","0","1","1","0","0","0","1","1","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","a4","a3","a5","a3","a3","a2","a2","1","1","0","0","0","0","0","0","1","1","0","0","0","0","a4","a5","a3","a4","a4","a1","a3","a2","a2","0","0","1","0","1","0","a5","a5","a3","a2","a3","a4","a5","a3","a4","a3","a4","a4","a3","","1"
"22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"26","32-37","BR","a4","1","1","1","1","0","","","","","","","","","","","","","","","","used3","used4","used3","used1","used1","used1","used1","used4","used1","used3","used1","help","help","help","","","","","neutral","","bad","","0","0","0","0","0","0","0","a5","a4","a5","a5","","1","1","1","1","1","1","1","1","1","0","0","0","1","0","0","1","1","0","1","0","0","1","1","1","1","0","0","1","1","0","a3","a3","a3","a5","a4","a4","","1","1","0","0","0","0","0","0","1","1","1","1","1","0","a5","a4","a5","a5","a5","a4","a5","a5","a5","0","1","0","0","1","0","a5","a5","a3","a3","a3","a5","a5","a4","a5","a3","a5","a5","","","1"
"27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"37","32-37","DE","a3","1","0","0","0","0","kde","developer","10","qt","developer","8","2","developer,creator","15","","","","","","","used4","used4","used3","used1","used4","used4","used1","used4","used3","used3","used3","help","help","confused","","confused","neutral","","help","","","","0","0","1","1","1","1","0","a5","a4","a4","a2","","0","1","1","1","1","0","0","1","1","0","0","0","1","0","0","0","0","1","1","0","0","1","0","0","1","0","0","0","0","0","a3","a1","a3","a4","a2","a2","a2","1","1","0","1","0","0","0","0","1","1","1","1","0","0","a5","a3","a2","a4","a3","a2","a4","a4","a3","0","0","1","0","0","0","a4","a4","a1","a2","a3","a2","a4","a3","a4","a1","a2","a5","a1","","1"
"38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"43","38-57","NL","a4","0","0","0","0","1","libreoffice","qa,marketing,developer,translator","6","openoffice","qa,marketing,developer,translator","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"47","15-25","DE","a2","0","1","1","0","0","kde","bug-fixer","1","3","developer","1","","","","","","","","","","used4","used4","used1","used1","used3","used3","used3","used3","used4","used1","used1","neutral","neutral","","","help","good","good","help","neutral","","","0","0","1","0","1","0","0","a4","a5","a5","","","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","1","0","0","1","1","1","1","0","0","0","0","0","a5","a1","a3","a4","a4","a3","","1","1","0","1","0","0","0","0","0","1","1","0","1","0","a4","a4","a3","a3","a3","a2","a3","a1","a5","0","1","1","0","0","0","a3","a4","a3","","a5","a3","a3","a2","a2","a1","a4","a4","a1","","0"
"48","38-57","DE","a4","0","0","0","0","1","4","office-manager","14","","","","","","","","","","","","","used4","used4","used3","used4","used1","used1","used3","used4","used4","used3","used1","neutral","neutral","","neutral","","","","help","neutral","","","0","0","0","1","1","0","0","a4","a3","a4","a4","","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","a4","a3","a4","","a3","a3","a3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","a5","a4","a4","a4","a4","a3","a3","a2","a5","0","1","1","0","0","0","a4","a5","a4","a2","a2","a2","a4","a2","a3","a4","a4","a4","a3","","1"
"49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"50","15-25","DE","a3","0","0","1","0","0","linux","patcher","1","7","patcher","1","8","patcher","1","","","","","","","used4","used4","used1","used1","used1","used1","used1","used4","used3","used1","used1","confused","neutral","","","","","","neutral","help","","","","","","","","","1","a5","a4","a4","a4","","0","0","0","0","0","0","0","0","0","1","0","0","","","","","","","","","1","1","1","1","0","0","0","0","0","0","a2","a1","a4","a5","a3","a1","a1","1","1","0","1","0","0","0","0","0","1","0","0","1","0","a4","a5","a5","a2","a4","a3","a2","a1","a1","0","1","0","0","0","0","a4","a5","a4","a3","a3","a2","a4","a1","a4","a2","a3","a4","a3","","1"
"51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"59","15-25","FR","a4","0","0","1","0","0","kde","tool-developer,website-maintainer,bug-reporter","1","","","","","","","","","","","","","used3","used4","used1","used1","used4","used3","used1","used4","used3","used1","used1","help","help","","","neutral","help","","neutral","neutral","","","0","0","0","0","0","0","0","a5","a3","a4","","","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","1","1","0","1","1","0","1","0","0","a4","a1","a4","a4","","","","0","0","0","0","0","0","0","1","1","1","1","1","1","0","a4","a5","a4","a5","a3","a4","a3","a3","","0","1","1","0","1","0","a5","a5","a2","","","a5","a1","a4","a5","","a5","a5","","","1"
"61","26-31","IT","a3","1","1","0","0","0","arch-linux","maintainer","7","kde","developer","3","","","","","","","","","","used4","used4","used1","used1","used4","used4","used1","used3","used4","used1","used1","neutral","neutral","","","neutral","neutral","","confused","help","","","0","0","1","1","1","0","0","a3","a5","a5","a3","","1","1","1","1","1","1","0","0","1","0","0","0","","","","","","","","","1","1","1","0","1","1","0","1","0","0","a5","a2","a4","a3","a3","","a2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","a3","a3","a4","a5","a4","a2","a2","a1","a5","0","1","1","0","0","0","a4","a4","a4","a3","a3","a4","a4","a3","a2","","a2","a5","a2","","0"
"62","26-31","US","a1","0","1","0","0","1","9","tester,packager,bug-fixer","1","","","","","","","","","","","","","used4","used4","used3","used1","used1","used1","used1","used4","used4","used1","used1","neutral","help","confused","","","","","neutral","neutral","","","","","","","","","1","a5","a4","a4","a2","","1","1","1","0","0","0","0","1","1","0","0","0","","","","","","","","","1","1","1","0","1","1","0","1","0","0","a3","a1","a3","a5","a4","a4","a1","1","1","0","1","0","0","0","0","0","1","1","0","1","0","a5","a4","a4","a3","a3","a2","a2","a2","a1","0","1","0","0","0","0","a5","a4","a3","a3","a4","a4","a3","a3","a3","a3","a3","a4","a2","","1"
"63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"64","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"65","26-31","RU","a4","1","0","0","0","0","10","developer","0","","","","","","","","","","","","","used4","used4","used1","used1","used1","used1","used1","used4","used1","used1","used1","help","neutral","","","","","","help","","","","","","","","","","1","a3","a4","a4","a2","","0","1","1","1","1","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
